A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
1885.4070696772508,992.6385816909924,2062.9618609670697,699.9146770114829,834.0100256702302,1388.0944065327371,323.4522302550285,311.27752803797404,1300.9553781690797,149.81327393936104,326.9227202510362,50.76777707430125,74.82306563662758,237.37645765561936,305.66463000360034,60.85031104057583,36.810591818980285,83.54599571069033
1309.7179206708004,829.2322474625844,2003.8748322979761,662.132798422305,1047.267518482747,1219.9250201388406,415.4361904707053,438.5027227353957,1174.1702452912036,244.6775600654208,238.77205815055476,64.10738068819134,59.818684067660584,163.00626822732508,204.7599170645366,81.96478807657296,44.10706961462997,78.50613011690648
3110.6133895003586,1081.979202241098,2016.963299640009,637.3069272293121,770.6544295981108,1099.2954871524455,438.4090669236243,441.5443266632345,809.9746517387105,209.01140423863671,272.5410932054661,63.08105020593833,53.34656754565094,163.82096643353782,305.14680804666875,110.57324889332274,50.24568173105149,72.33693768573319
3272.4775856893807,1296.6911604789454,2847.647289707781,941.5084820350203,1091.4167679528948,2025.349942738272,497.34825461782515,499.4181735578731,1480.9573717495393,249.82959016477884,356.78841111351755,77.54922601851048,71.6250416483936,253.82515140674997,303.6695388239555,102.99367257193859,55.075018802072385,86.8814445294914
1563.9685042084718,938.6950426339083,2554.211822211766,571.8977765848,870.9876638005514,1178.2659866209763,375.6491259502405,383.55659474642704,865.9587817763717,182.99440653667108,241.78335636036866,57.3059663669575,54.62877398519256,158.09130039279566,230.76728027149994,83.77612974328672,39.34644185591268,70.71751750385778
3085.9225050577506,1087.9369286014223,2001.2943372651687,626.2721836242138,768.1552004488009,1074.3639311736476,445.08778525646125,440.484877691028,816.5146108562158,214.53951046436276,273.5448851815666,62.06095238786581,60.741517840770975,173.56770507610975,302.87238378167166,110.86434075496724,49.9921525538501,75.22116595238091
2129.882997415569,995.5163542722345,2387.955569715779,651.7372458131383,945.2348524622639,1196.4597139224295,385.8851425080287,388.2951077959283,981.3627518183672,198.86715734261043,254.34383292843856,58.75944461676796,57.8917421874726,170.45050267192022,245.84652381941575,84.3301477396703,40.88877643796496,74.09913095523433
2154.9032062285874,977.8004459248963,2721.2416927242452,666.6620332393292,908.4727707271591,1355.8422324029436,321.3336228823471,334.76455088502934,877.3432396336461,179.48713773849755,225.31366418078346,51.318854267159054,57.7363078909071,165.3644125149812,223.61158412268657,84.19408732903939,39.09148032324504,71.24170708785243
1813.4684127475819,673.093203402431,2231.0670690018787,472.31394216808997,769.5563222972517,1092.225049142817,285.00789200571916,271.8118481647384,647.6688334327464,131.95879368716209,150.7063355480189,42.30426356711806,35.5989774611052,120.81125240562929,129.36115485038923,66.76863559014893,30.081391449440982,51.87337343266154
1468.2631121435313,887.4977287411931,2021.4906629384361,649.1399527503339,1054.9905586645207,1327.9938201914692,346.55251238785195,336.01419409524954,1020.9542858371982,190.93166139538752,271.93461459383354,49.73391477212972,73.99174689326965,164.71366526549554,219.6827509612506,70.55057648392855,36.87115147659876,86.63881949004077
3295.187050726917,755.3348445767808,2238.218824386828,630.9721651832361,1080.081941278281,1277.521848380526,381.0844860877634,395.00077816877456,1159.0567512418563,203.54400292566234,275.43944919948365,56.84148503892766,68.64315347061378,163.8340734101507,214.99254664452724,113.93793637412638,55.50633473421836,85.666030816018
2442.2193668757623,1213.8487958659432,2518.667709823742,855.6704232039418,929.6275636407515,1751.1034244034472,427.2504735541573,443.7971019298866,1378.9580711240967,227.40364953599746,298.17493675928677,65.96449540519518,72.29109450547956,234.19002383433116,290.40829257878175,93.00358119052578,50.652797091123446,76.23622400333969
2375.6257834685925,998.8490781234786,2441.3112166658448,630.8997819113881,877.5948790715427,1201.5824667582658,375.8746619619066,377.7991216251563,847.6548795367897,207.83871130107465,221.80851875169614,52.860189553057765,58.285105120185875,163.22164834833694,214.14796081530253,83.12158942196125,39.12067277995363,64.71786416365772
2481.3448763388087,972.3919089225594,2792.892232644634,613.221370075422,896.0657252259316,1366.4216422943791,365.6589533742216,385.9293831067344,810.4534331522142,203.54054997386606,238.52715485841614,50.81638062920931,55.19236851705276,197.77693466155657,186.72902405473542,154.8813770173955,43.86856933210695,68.4976935488312
3341.402268844028,748.9913722347103,2246.055678566065,638.6930737699741,1095.3526626175662,1315.1783834351534,383.00801943605154,390.4911162963934,1138.7080748861126,190.89343121860767,279.77428179471474,52.622184819894464,68.3550700765796,164.75751433215214,212.4953054614876,113.05577422502522,54.80896159890191,84.82702441132696
3158.2808134640773,1260.2568355702201,3283.6017237418205,935.2844823928498,1092.330811606484,1940.6263503178457,497.92810415791615,505.75415492072915,1190.857984519482,264.032133674753,83.07902080031481,82.16782731156624,229.10749802825578,297.7954977025544,128.99815950638046,140.66709870491673,58.056728217539664,67.8996734488394
1840.2907039189752,970.2711716583984,2348.817366907818,689.1790928053603,1087.216771367698,1296.799451616307,390.4179302648379,408.14239593333934,1155.0486242513534,219.30059932038034,282.63741692058875,58.53194574079323,68.21681115870835,172.7905734506009,218.07244935309197,75.85829903779171,41.278942201272926,82.97297177852823
1872.2905022134883,1092.3512623826343,2148.781329923261,777.5220380013889,882.3000355144121,1175.3379470395673,422.060295212219,430.36768357651323,1450.642566340558,223.02147178574776,332.82633348997433,69.97766615260217,74.76702653166782,219.2821722763126,318.6277769209496,87.9701420855919,49.04734036406004,82.75356926194885
1623.7342955697416,931.5746986086691,2519.4615019658568,568.458434180351,864.661092802138,1232.820333930465,377.40683988716734,378.52020862718217,834.1672931779747,181.1303705105242,239.20891677907056,54.268787634620004,55.15181012374921,158.54405925518506,237.6809447976254,83.66160859890364,39.73678961013176,67.68560424827969
1313.6289741755947,795.6340879247723,1937.4682473165742,603.0571732372437,934.9416686671296,1168.585671186829,365.9252664231096,380.0013856110306,1101.150226663503,196.03358962009372,320.7504433442507,57.29887790677112,71.67239382503054,179.84803330432587,242.30687733347423,70.39211124386641,38.010276372906,81.4721105404995
1214.9939559491681,894.0711725730013,1995.6329257885225,758.7663472869655,863.312106094657,1123.2397808473527,436.3027735089035,416.26589378423176,1034.760066459973,207.31717162931906,64.95180110598925,57.68586207414005,166.0656568674733,190.31218306288653,92.85627995042269,119.14700876177947,50.30714604625624,54.636816779492
2913.4168765063914,1176.3356026751524,2290.411765626175,812.4004306529523,923.1754389905306,1611.2046884789418,370.27308031845763,362.2598280102771,1440.9499120201417,186.87983594012377,341.74940626684656,65.64363705078371,76.93419695498424,264.5772420274485,320.48026290080287,92.08776431461506,48.538062960011196,85.17839926112957
1097.682378780787,790.0805596692755,2077.717255204354,637.8192575059763,1071.0292172709503,1347.1080675158398,387.1661190704165,399.8608139994277,1130.2846149556237,207.7515124153175,269.69199966410815,58.416797966790014,63.95146014098821,164.22115141163604,211.05194887826173,73.49876211398715,39.802744322330724,88.93093801549254
2221.607437782147,900.2984476889673,2794.5149386897015,765.3501695599289,968.6685653399347,1870.083998551785,426.18238241506015,427.33838487973577,1347.5928019147616,206.1610821551496,290.0584061879827,65.54273346447486,68.1373408374031,236.20804190455755,275.78978962867984,102.72115732832812,46.68993587654325,76.90135552217214
1548.9915846345198,868.1934862165466,2024.1760682641063,638.829962364673,994.7403102268752,1285.8807660602777,382.57387395758377,391.8059871445244,1191.925211956832,202.85737274911997,292.5139658101175,60.339838332603485,67.98836731457706,176.40175330187452,218.17462712884858,67.72241734357041,39.623222190398785,82.4739084532597
1841.3812373029198,939.6923744848717,2133.3491540303085,687.8590299764002,1033.7258100974623,1235.8966640071176,409.7964636981033,413.87395888091015,1184.017391371249,238.9212389802514,300.29069908647637,62.28658463387149,64.56949986986676,176.39656700153793,221.45049620820882,72.95279381740384,41.42860306662427,82.50247797480328
1765.2437502801927,944.7835246546439,2085.1156248337174,685.8161905108848,1032.4190543491557,1182.271152315624,365.5539002382885,386.31469857601496,1069.8036516983111,197.26714073717287,283.0689235563333,55.22556317296925,59.06943780054533,172.29715831275024,228.99306884051822,74.82251987312316,40.899258846968806,78.30960792187885
2382.7216981180786,992.0513412698213,2375.6901845283483,553.4425546607706,918.837501572435,1162.051018409032,320.38774667673306,313.0327946376294,826.2125295856649,152.3185473482191,175.39342976447693,51.21154358693509,47.45860122379142,138.22894782442862,170.33233822000778,77.08968529058323,34.66153772665021,65.9391743833774
1294.0907258851437,914.7203561504818,2326.2350461513547,695.8656387613058,1137.0450267675312,1432.876331353301,360.9754532258302,384.2431544992717,958.529832986248,195.40708725496634,257.6155096684577,52.69879072508746,66.11064163928361,157.79645001494845,203.44955604778514,73.07757720445125,40.01144040113822,88.6393358536213
2240.3666856778977,1110.2202119400338,2792.043230464016,855.2389571341504,1042.378849295764,2015.9845648907822,458.304838454933,463.2156506084659,1465.3649094530497,241.92318802927537,342.3672963232519,71.74838994347486,77.16617399786398,245.2967076254715,303.829741678778,99.35577499054489,50.628645374132695,83.66389125374647
3219.7184743282,1309.6953118296262,2852.037241924888,933.0645251595124,1091.5111335829688,2021.1506304993625,494.03759795258276,500.6392047471563,1482.2121185882622,251.17027561243503,364.1181143289259,77.2229674593132,70.2083779149178,255.83440099113986,309.50259175662796,102.55329530087114,54.214237335878494,84.04432152599482
2364.00296267181,1090.059830718255,2436.285932213111,647.9452113121064,921.3122655410161,1135.4845402867254,350.00212059963457,344.25457123269274,983.9466485292328,175.92527359255948,240.69584337730524,55.18517622148121,59.76958014838736,166.59191070658403,241.92650837779956,83.11391708024027,39.34416689326295,77.69288424391961
1883.3389451227329,1040.8607396704751,2343.0349865644516,682.6246664299596,1061.7514442217637,1262.462577213476,372.5282546761226,362.2105875566208,1066.496963409068,176.72438591472147,283.9491625404917,60.89085493939631,58.4406637557661,168.58063482519916,220.44796099794806,74.07021452681359,39.18816190209264,80.35209030203636
3345.412443669275,739.6335754505691,2203.8983453758965,629.368950119323,1073.3770281794152,1291.5477880466854,383.9377419733959,384.8785532439372,1158.6160255233217,194.06486339363695,278.8291394530464,58.07225925834337,70.05499388470085,164.50752336894305,204.90039599526813,114.75197115341298,55.044062441975264,84.11466697734853
2525.061142520847,953.3836328390488,2787.1682234674486,601.5964330136951,891.8751918771922,1361.5759582709056,369.1677209524867,388.53829640877035,859.819422407336,187.97136113075388,239.95203300564006,55.1801804243533,45.23836473789368,198.79421592617476,182.70389213834056,154.08980572400105,43.96363840172285,68.93815972799139
2054.7343219875274,1279.6020452313376,3568.4315247154914,971.3074253541816,1172.6582755709794,2265.372384228615,492.08464690443594,516.2370139364251,1478.6879801581383,269.0620173594309,336.5596714238217,75.28531470601196,76.87019253561199,244.95770036324325,289.3232591082244,116.2270867566966,54.74867640250536,83.4451775112197
3089.803008662286,1085.8721057612079,2039.535397469095,639.8076716792683,763.7521749798734,1073.6338214129103,443.2911333219012,441.42188933024937,803.3374966230564,195.29094056787167,271.9882556281952,63.34528944626057,56.76323031114994,165.7782022919501,298.54055033258385,108.92063413652848,49.44660982334561,72.46466854783199
3138.025561313776,1953.149430012308,3299.9367453049163,1254.7612443262794,1473.9322359327668,1670.3381037149659,569.472078511508,566.6359289072317,2031.6388068223202,322.5787136946743,505.1862563081017,92.81197023999232,112.17084748030263,309.6545752585787,506.9897712927466,140.51038218023913,73.63491140753626,123.55551264405064
2507.8056437062482,1352.2536371033375,2745.303395009556,911.5482097286746,1078.029820525403,1980.9616587917021,415.7644058437293,401.17088142815254,1332.0692394444534,208.34144649974934,353.3029716675369,65.51682670273607,77.25924024722164,230.7743631592499,307.1258605339104,91.1139784003408,46.45976483865586,82.32386655088717
2137.4527788438822,994.1476027173463,2368.8781938079906,650.5506624371039,950.0896587464936,1197.0817523703267,387.8020635776986,390.76183565903153,1022.9090316700926,220.24552550017023,245.39251202940733,57.44047345269493,58.56487280912751,169.9894413968173,246.39667551083662,86.14100682868207,39.95527282003249,73.3124141353143
1851.9896684975968,1065.9709637094447,2520.511459313398,645.9162168108254,972.7447066307872,1247.9168380858616,355.87654768912023,347.67779324907224,805.9370609342733,155.7592144964742,222.9500521282315,54.90736259231803,58.196766135088204,155.2598117573156,229.9375983725549,79.96266327607006,39.74112391233967,73.0547142686393
2702.545486634818,1151.954737691249,2978.6657577042797,833.3176357334437,970.7222976056987,1823.8830992241951,367.7993758260667,392.2159294710364,1128.7630237297647,211.22509233370062,225.39817720768423,60.095723235930556,55.154845448338904,198.87566218227025,193.6335221822533,96.11817456841473,48.26062868451191,72.71785604161975
2395.7158417579444,972.8298597728474,2362.8841168809545,576.2018632074421,916.8882611288308,1147.4577526514058,321.5512956932481,313.30322481985223,819.8531377116291,158.8795058396523,173.91460355463346,50.06138886827568,39.08391906143021,141.45752599803785,164.58683347525889,77.18722786076985,34.848809203730724,65.58518593942469
1885.575932443852,949.7054201219664,2159.310078113967,692.5081560746297,1033.5570067222025,1264.7609724949189,402.9024224543555,413.91314122967503,1173.4121280383947,241.19641964711954,303.6457533694768,59.694457741679976,69.74469046471602,176.8643478406587,222.04479657424167,73.84312389775124,40.87180338468008,83.66049476452024
2036.702582173658,1303.7480786758713,3535.5499886129796,971.1316099187746,1165.8142532240454,2223.1974757937687,499.84829799468787,509.2995519007116,1472.745074254002,264.6558173542917,336.97234112418363,77.08051034545893,77.79368853205347,244.2110787138538,290.0320499115994,116.90629616560305,54.76212499436171,86.01366695332489
2732.515981231021,976.3543098601529,2158.7023357732837,746.1343931815795,885.7899317816538,1709.9926952135131,371.3210904362696,369.5441306033265,1356.908113852562,181.281763150263,323.3099287616236,65.02432798321534,77.70034579073202,244.91433981757282,276.4227953910676,80.856172129611,44.281410890554916,77.13718957839698
1812.5726815397356,820.8924283452756,1967.9814334956952,515.7894358771998,821.9147307270414,1030.1778499587206,353.6491290684343,352.8628637109082,930.2001893400865,165.5065463851048,190.6249736105923,52.717216250468304,49.133579093494326,151.16849189361324,200.05674528398893,72.45018685168046,36.86930095922828,68.13563771768908
1812.5637053707774,823.0698983232642,1919.911343801255,519.2364230870605,818.5061208972832,976.1188725468477,358.24932238200415,358.4489705989663,920.6155221407136,178.55488287895733,197.075392150067,52.83221635200709,52.67036450871775,151.51074557145685,201.4949216148374,73.0375054036013,37.77806625351975,69.4069819171014
1864.2375583880857,960.6887619834152,2172.667321923543,694.9802975866203,1047.7299660346125,1235.8521154353298,407.74933833582924,415.3492531629916,1181.1986645594584,219.15775013833147,304.5531210538294,55.5319862420111,64.84850345058129,178.55430625964124,221.96817396880385,73.7157528787968,40.50864917145271,81.07482817897707
3800.5717183977854,1384.1782991568098,3224.4255028631765,895.8759162393068,994.3472693866057,1848.2570850487668,483.551880755782,489.50694838488795,1377.9637562121666,94.5419751716905,86.46930910246095,71.02654381723964,306.63378289849345,110.6187015209966,50.11437158059041,34.64506683760638,23.60223098762557,253.6751922120853
2586.321954704526,976.6400969408209,2938.731018426306,706.4753647262354,916.8976054105616,1811.7204444621166,386.6672100100855,401.2841994450647,1339.8104131417945,198.00846774191746,282.745297660962,66.08462203631804,74.73067367765827,224.16192499638717,297.254370358708,136.8604130071045,50.03992830604441,79.90729898535707
2451.6420602491407,994.8752480591696,2371.5649684236437,574.1779676390657,918.2662883527807,1161.7289615504576,316.47179121775014,313.64491846069217,826.2464024566049,162.78184529362787,174.45608058707873,49.49482191429474,49.28453235067448,142.75449975287765,156.34903852129702,76.35950379866604,35.02673308707004,63.90379611455159
2567.005543325037,1577.471457026256,2783.579709159491,992.7189881052931,1134.9174514908082,1555.905532878545,488.3488556148327,503.0415319432724,1357.7333919226803,276.9003188300461,354.71122665512,76.16038969957481,69.10263219042884,228.0609401325008,315.85602841515066,96.27951690565203,54.36088191952856,83.40805231505206
1035.630135400343,777.4817756886343,2111.8875496342866,634.2048371894566,1076.1279434291296,1367.6704719662284,391.5432812313346,397.36104658857363,1132.2093707784766,215.9526209403563,270.75580294749204,59.48510241327979,72.94589147624936,160.78672839824245,215.42665916353886,72.20398368964179,38.945786395698775,89.90038747618473
2368.281569540274,972.8728115249877,2485.051530383016,626.8458719626934,874.4230464044005,1227.063554500833,372.3069497628782,381.6430086089259,850.7945868592018,192.37901269863167,221.30978977259394,52.02329799894222,52.70259510731027,164.6194831840305,209.23025568282353,85.11319433956783,39.11539170427838,68.8600485486761
1978.810189946687,1294.4957739265421,3544.099066125894,966.7906408397979,1173.2569270466563,2216.673754581264,493.75306206312104,511.89145559621693,1441.327189476152,262.2035434081104,340.68857741387933,76.60828247120182,72.06920799530775,246.50898933022395,288.73779299434926,118.19840214812949,55.109673022224555,87.53279951625068
2427.146444304924,1067.0968559105027,2421.11820721989,630.660668081697,919.909514427654,1128.6251946707348,352.42106395550906,344.99275122634725,983.7167870904927,169.19637896577933,239.13350203221734,54.37411425979135,62.18973110052976,170.91187683385348,243.7720088185599,83.248831625529,38.61634792786629,73.3770342873711
2458.08473840428,963.4650902753962,2778.3464505645193,601.5939015211313,882.0492253616853,1367.8448528497831,365.8836847331697,377.1169568050981,827.0699674644479,189.7689556943509,234.621306999413,53.5990063563349,55.335975526677636,193.60211193321084,186.81049424831156,156.8410010088832,44.33624265569624,68.77130722140537
2421.2518287195057,1095.6288848622069,2277.2496660918637,831.7471639645016,985.0349845866008,1528.139713817953,416.1893881057172,411.56496579099286,1412.118445375776,68.15331498117064,85.47953030578041,345.1142274597248,74.41409250774132,240.95665625993962,294.4182826081639,81.33815626994523,46.52491329746214,205.4086801486444
2269.2426220527277,1082.059940987473,2481.9389267907673,653.5097860874979,995.8633440765313,1205.9592576734224,394.550106386417,394.5646805414676,976.2650909441493,197.64925586627396,247.01809498673083,60.47933373939679,56.03116181891133,164.3961877474487,224.97772839478034,85.0772061175458,42.90412253421379,74.55325752166826
2303.4391504684595,1010.0393662712971,2401.782457993282,637.941353864374,952.9094259671025,1293.684035878036,393.05809103256684,401.71103807329587,993.7881250800527,205.27055646541982,269.4433928630143,62.946025327350696,53.62630945896619,168.8395267530924,223.00182376310693,83.9325720664965,42.94107239249113,83.53110172597817
2867.829495577563,1026.6696278016202,2900.1061901804096,678.2579951092569,900.373217893883,1425.1497295293298,382.1940395033816,388.2815047330744,1015.4718776094725,202.22839094104535,236.803986838602,54.82413300209083,57.683290813843115,180.74945642769984,214.1011280625004,85.59100572864611,39.93789047240082,67.42190631601518
1809.5043807158577,671.2766996682591,2197.282326557308,478.1488139473993,769.561093125189,1098.667009848919,282.59825996150704,273.48274678138216,660.6391250703193,132.28823953603182,153.13094455344034,40.982574076087104,36.43761462549601,119.45771405226351,127.4315722884987,68.48315742309552,29.261699601931724,54.622475306970976
1453.3357767022599,244.9046994360156,1410.7612297394783,209.77823645034505,395.9745479801001,1054.6458938386459,186.333812004656,207.3268714631333,858.4942433301095,113.99650475040866,228.59294937488377,42.05539856776065,53.85188729885666,194.88932112648018,263.64151082297,95.88043755465017,36.64456417829633,66.33787817349184
2304.610801869231,1036.9700231663169,2182.100541056428,738.0798920915141,844.3051687220898,1350.0157004613322,327.4751071482114,329.5220002043121,1214.415431762789,153.8404627086047,298.4101825796065,54.832109823404366,73.75213383166457,224.47197748177817,272.56544601910514,61.708679599394706,37.81590632157609,75.62414586410641
1945.8322010194784,1027.914397787282,2592.210910396046,670.7572554105242,1005.6989333518922,1280.6441713510287,384.88766607037326,392.5863033405719,999.5764523547058,210.98134530623975,251.19962188488785,58.757639062438145,56.79704157178952,165.08906834418224,223.33856638712226,82.4198726682296,41.27108641092251,75.26327064228944
1674.5790601668107,1061.0939447262301,2442.867014763631,812.9139550057736,958.4786478780724,1749.9027014265505,425.3180130255144,434.90222804112517,1208.6426773676346,222.95190919641968,292.20414889007515,62.41667161981195,61.19510791712189,208.5929396721628,276.41060548268484,88.92059981747053,47.632450886150586,76.71673298683997
1762.0804701836541,921.8074210574941,2162.2064107593937,639.256126929626,1008.4226047333497,1229.450814781883,385.96911405816144,397.7282635092037,1136.1727405373983,208.6083969325109,291.35395187688783,62.29343657195976,70.03486688958414,181.25841051768808,248.0231176034448,74.61964263216453,40.48587186786663,82.97284157084808
2019.0898224089074,1037.9594267804466,2448.295972255441,768.2198791284525,871.4512467917892,1779.8541145756014,433.9707653957423,435.637457722778,1335.9456318531034,229.4423996574769,335.7448638356305,70.105070493356,72.24989408021094,236.17474040250033,301.15013520526173,92.56959169790127,49.386781885879444,79.47788940652445
2355.787737613204,1118.9995430298573,2246.795774669955,832.6446030499363,981.8496721542734,1550.734744357748,417.02721928231983,412.5410071021459,1416.8286075251299,39.4218577468089,81.68240742859236,341.67926555136955,70.52385813015418,241.6940413119921,286.19818701498235,80.97396635239916,46.892552926369746,203.26007473175213
1762.75817656715,918.6734353475084,2082.7866902282085,676.7692014372525,1004.7325060259228,1242.3009802224692,369.20726833175064,389.94601013470987,906.5521799593193,209.8081504914825,257.67846577272945,53.507628805679964,66.62878613230426,164.41381536966367,209.67828248736646,74.01771408905506,41.31090985750827,84.46641221759927
3473.0248986231077,1089.1704045982785,2044.4620169764974,672.0563502692272,838.4338184785614,1193.4703132648633,444.82491615782055,446.6474546817857,776.472485595283,229.05083296918949,276.53340257192224,59.55626446595449,61.21200227509646,171.643741783668,309.55858581483034,111.24750413273648,50.70767964436319,76.02522870741117
1757.4801702244013,695.2471170533307,2210.882651685871,477.4736194092752,771.6333524485736,1085.6503416891858,289.7553632840892,270.96155538216755,657.69556353512,138.56546684295975,149.3229775063872,40.078161944906924,40.87262410483278,127.01404927869177,127.83918933290374,68.87049848524423,28.847316536573295,55.740251213718906
1820.4380157147536,1040.593664197459,2560.5909646499695,845.308239121896,1032.8937305743093,2033.305420731531,450.8501063723153,468.8399782300493,1461.4934969145188,230.06940777056911,352.31149912036165,67.74121738464785,78.79149966257086,243.46964665904795,306.476917157424,94.89863442165881,49.375015828770835,83.17768478739396
1730.8015655111037,949.8366779557432,2031.5307939827862,694.4264642825373,945.8142223319094,1378.714957766427,410.25413184277414,416.04251035756556,1088.497914761911,194.6011652082682,269.2192612784174,60.143499770139734,70.07086243256269,174.91014579779562,212.13345995749046,67.90329856499625,41.14948997466785,89.29693081320876
1964.8583887220584,1302.3311864071009,3545.542173501929,975.3136211201592,1158.3784906080748,2235.977897063617,495.17981384311855,509.98196479669105,1445.0874603324762,264.6948072520993,339.370741667188,77.9401673199084,75.26038543704573,248.37269296537733,290.52212434421637,118.43804630077945,54.88631944565336,86.39559346185912
1317.5284119522014,912.6232066234974,2339.8404486179274,690.6713474049993,1142.0396497109575,1420.169783285861,361.9381781216284,382.047265656836,985.5067053133076,225.2827000872383,257.2653030470006,54.08654356865778,70.67677539644639,157.17719663524724,204.50352884685577,72.47733425203809,40.025873331647105,87.50946911255826
1831.4617827645325,909.7503217218721,2131.707463248682,640.7411766873026,1016.2321582989921,1213.506942370212,385.34609710551774,391.7263324671628,1168.5038810943124,228.80859805190227,295.125941053316,56.976823644936474,67.23454951774596,179.52564798378938,240.61936633836854,72.86507151460317,39.292218303809804,81.94504410504359
3258.099519016099,1291.226824407014,2852.093650455428,955.8290896919166,1097.7688635378138,2061.9250629395447,495.10604819321736,496.9853703753399,1473.6584332552015,257.7609037824643,357.1923334030304,74.89520636030144,80.58324141935925,255.49175213639472,305.8704091295274,102.46967928022067,54.75991188638039,85.68646470856797
3267.476672681122,1326.0976779483017,2836.185622598877,928.7701834275127,1094.3518969040313,2017.1182712780992,495.4566431041405,507.56237537008286,1450.0122748637405,238.86365108429433,354.6567116141461,77.18287243342681,76.00782339424572,257.0465852827931,300.5628745287875,102.38469729847266,54.90013159780753,86.01521157454488
2130.63991956122,1018.4439437515724,2984.520896780741,723.3854918315942,921.5484923317659,1918.0465262812825,462.2408369699623,467.6614770091926,1395.3349521430061,242.9759129366295,352.7005863889027,70.65110794173991,74.78839555821125,253.91229016441704,316.2200468009914,108.33027158695789,50.62188403943211,84.2370956295375
2335.017159027837,791.9352840258243,2249.3015233897377,219.55437394304298,775.6489238793079,1123.9574977801242,278.4333713597809,288.71915682196084,692.3580901523176,150.29562122613987,157.9657727073596,41.95396801737129,40.81397642986929,134.33816632667444,128.48724085589046,74.37586420599638,32.93985311016026,55.619015494444575
641.0524477849507,463.87311340900095,965.7227705156408,481.1159186549839,669.8745265580377,693.3832366751358,398.5016380891686,402.01773476716977,1275.6655507023904,185.60951269151246,198.2418074438751,73.71212470827543,51.47060873527446,136.00974555570104,170.84529895612812,55.07565428684338,35.52250509464021,62.95345785023674
2555.231559978517,1149.541955956598,3424.639335763523,890.7320147364858,1190.029147927539,1864.164030845583,432.1603512263369,446.5424360126385,1409.5848675098757,234.33780349183095,324.2868416422644,72.00387537459986,74.75576723271439,244.78930575255166,293.7594963885974,115.71973451305698,51.33591269027053,88.34257037491582
2311.8837788192027,798.0663797374307,2190.4709120220764,479.61467982730846,738.9685406857983,1055.3675327236206,301.3188985154661,305.031538058894,684.5457287885607,132.84116825365638,145.7613190456154,44.11280150358885,44.074485575050794,125.09203161412034,125.09052499012961,75.62127451105926,33.92167957675001,54.22383308153681
2323.873714297484,818.5626926430284,1997.0190789585936,708.0444495412498,838.269419892631,1680.77916746493,373.1550323057196,374.1957349594757,1337.7718311070862,208.76977082549536,309.9012272818308,62.25638181730922,61.492352665324724,240.85490928058516,276.8218392942059,84.54700889613142,45.014155310555786,75.13507200223158
2368.230442569548,819.0619714833089,2036.9069701311787,704.9982857042428,849.8817180950381,1697.3005715540548,370.7757738676136,380.5850759624232,1348.6763362278214,164.0161575333086,307.4406654750109,62.15947307314627,69.01053015153816,244.64881118579905,277.73480664921755,80.1018152286058,45.22750575647017,76.62669023864045
1806.4581446837703,1020.6780669567121,2581.148761688987,840.7711210156986,1024.1887910709468,2046.2430985694953,458.4515919340489,463.4484360297093,1476.2930102184894,244.66723819849292,359.7977524980154,68.91040355114154,72.50040753211555,239.42739125607028,302.7888126915507,93.90540944793105,48.85632860789006,82.80800015094673
1801.548955691736,953.6165840547958,2065.478753243709,688.0127390490355,1022.8489237654088,1206.5668304327887,366.8212462298978,381.4950873403459,1075.6369195407992,214.56378494196173,293.23404157738105,51.67362478207402,62.07915314307254,173.6814181691957,225.3476396910791,74.1574782083642,41.04690156992103,78.58635451431365
2776.2365025139316,799.0415476818647,2409.3337203410174,591.4723729448995,916.6773224448857,1337.920155070881,358.3391065809139,385.1644547475933,868.747218071591,224.9124922021318,201.23028367567622,56.6447646339186,51.15750977557629,164.4359569238869,209.3920300420382,87.28745452535347,40.111055461673566,74.37921737541923
2960.6364845903545,1171.0074806754026,2327.0220401039887,818.6260865271857,909.2115072523982,1632.0479852444178,366.2181865743018,363.53770411640375,1433.2811243464566,192.23291063540117,340.08479084981974,63.951867067106754,70.52222999794238,264.40893068690053,324.31576331288136,92.41494925111478,48.32553943580057,86.1488768153679
2260.256990322451,820.6294869593045,2386.2767629385335,576.2409939381154,922.7316702736059,1270.6263454379716,361.1239696173429,369.43658678263733,967.050526701027,211.93819989932751,250.1154470659912,57.15817688237939,58.087843006351484,168.63360088239315,202.10807962587762,89.96230734716141,37.86443925273655,70.74326541832187
1911.4575053204949,1056.63290317517,2328.4129079253808,682.3947301814577,1053.6177329595305,1252.4719383639733,370.8241192750695,362.1282577681741,1051.5884283467722,173.4433130629184,284.58060198558195,60.59104313935953,67.64224620959045,168.417552520973,224.626425864813,75.53128243924841,39.126031092704906,78.8637832265318
3286.8206843151606,1254.1481545998995,3227.9870496799463,871.7116456827396,1121.3638195667243,1721.8326054132926,485.68647437285335,491.3865836313045,1457.687607763336,267.60760040518085,352.5992288180483,74.34030358337118,75.42596274778961,242.40921029988993,328.9602419246161,117.92753854455262,56.00730302977238,87.45067941408408
2434.3835891036956,1089.4705712403274,2450.4275572175407,628.1772884821369,928.5972275169584,1136.0605694792596,350.915583557347,343.709516206961,978.1936721371883,173.95966819693305,233.05163783971858,56.93759868683694,54.926535334598036,171.0630211232711,239.73321722161123,85.70851439867572,38.61752638665203,75.02889543068349
