pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
8.78505702917701,0.22389989186163298,0.5601067100212157,57.21547336714166,442.64334543264005,30.94727743151279,2.869768278018074,24.484329779718397,2.5538082737692718,11.722841931426691,0.7818938349705751,0.5012991920826464,0.21702562817256518
5.751065549588013,0.08412205225257922,1.1233214096648039,38.2411116671986,207.04546777992212,6.533758318375754,2.3175486770602554,17.72500888900507,18.000212175996165,35.94233372909863,2.3861847901793536,0.7541623464071813,1.197431319743579
5.227265712339115,0.06556461678842296,1.3382583929144425,9.047345685078458,70.69228563183512,1.1378511253328396,1.9369594706313464,12.557563655571208,91.61518847202314,59.975109911790916,2.5433404707498855,0.4864703237490913,0.8025682705240251
6.134909097561971,0.09441977983012079,0.9950592181103352,27.093435769255517,474.41878905739077,6.411675284575381,3.1519868384073684,24.024320817011564,119.39305304741917,26.947327754534367,0.7601363184022026,1.1199897084443449,0.15077779928948723
8.459896383694074,0.07927699365197399,0.35581285907296956,19.201784447246208,214.36465988276018,7.088093215506267,6.000912368830621,47.97640540738637,0.16679453543912648,7.269642604676798,1.9270135178982226,1.4615806471485322,0.1482892201289494
6.989436615117795,0.09040746219056306,0.6543940727823542,32.137322674503224,331.57924935980407,8.138641604599192,2.8628848026000626,8.89669793069163,10.964917548201807,10.346194408453814,1.3936705659010087,0.7045359981552953,0.5007344705588809
8.560164068325875,0.05759167154457592,0.3199454102998547,16.116807523928156,227.6229564507337,6.923602898916334,5.466956677404529,48.3145140364566,3.031616363307184,5.9832060349752005,1.8690906015164301,1.2724555832114104,0.15179543187023628
6.899833624874978,0.10969042270378387,0.6555576622639834,30.849499847934975,318.8608385289189,6.8864205596390935,3.0754184644356757,8.686108218379095,10.808788971852888,9.876446852836368,1.6000201711028539,0.7090771855947366,0.4652787358878262
5.2377536602581785,0.08451586778957391,1.3451138553391557,10.37164972795156,76.45846940901005,1.1994875954404656,2.0781179524970748,11.982295700806846,90.06811083259892,60.400669816010094,2.529248499795582,0.4563931709158687,0.8169911682912951
8.011433983123514,2.2485237485745517,0.25722664349262636,45.29920548342614,276.39719837740734,14.909048012202438,4.7667066800803894,27.474742840375914,27.17566911653723,4.3302953036975715,0.8420461739314411,1.8821117851090232,0.8163311957411752
6.964682783553275,0.09785982454803091,0.4656839749448517,15.189524428985576,657.7632281930568,10.270622898009584,4.600690981141848,25.267421223223533,15.183649702575316,18.136856074247696,3.4603876470304207,1.2515036744098929,0.5952363645426278
8.22798814624763,0.20852586571627507,1.0667609056948764,22.556947346288506,163.38751231074136,6.648780661473143,5.924042870539309,31.511681924209288,9.814124155593033,9.548526048077063,1.560563290994778,2.0150290870697236,0.9878963676599924
8.607696084635402,0.028742919395652676,0.6701620543539135,38.8169154411809,228.01954720970653,5.942621543855768,5.4266521624469695,34.70158684250098,12.769665945632408,3.0220918862586714,1.4980540389154906,0.33273590881791304,0.7386358591897507
6.264448586954031,0.13003360063425312,0.8952068978449996,4.69835321487268,200.11150101716302,14.495602721841163,6.912252446299911,17.054356060422183,26.9265323459096,27.050926512392955,8.098557218566878,0.7039425730340835,0.9937754785177095
6.440469006749341,0.03161138532357375,0.48328884594947985,32.896163930144944,219.18684010206024,4.554111971456422,1.9467196705497458,11.305214381652275,6.949180400467979,9.866638158449806,1.8409412415708255,1.077642338443282,0.26284960471098373
7.650598034091219,1.304698588413096,1.1691708231163414,14.035848375543935,809.0873583982901,58.7354099105663,19.119354040022955,23.807487851402406,11.19788747987832,4.543751926325526,6.497494631949421,0.5535370232433788,0.4145199050256714
,,,,,,,,,,,,
5.134621736961459,0.07202654924993454,0.48128495910124514,75.2953116147803,153.68392473404361,3.204779212897628,3.0377743661565346,20.831034573451333,44.48039717428879,16.22588990201686,1.2731596396213505,0.5304990372076416,0.6056788179723224
9.529980893777472,0.4261075235066903,0.18126449180103182,9.548636998357873,713.6991952004682,32.487880223015054,13.910614680668996,10.79261435847726,2.270645025380396,15.862305450721653,1.8164031855649172,1.4874940179337393,0.6440151531851224
6.0651013292581135,0.14910004887013495,0.17603519577188553,44.522392150852106,279.14918358621514,14.399915044849083,4.461569813027132,13.99304549431886,126.4233330311419,42.754621128661874,2.4590201353141463,2.134273397017782,0.887122337278612
6.224724754689368,0.11381625008404408,0.9787644157646681,26.14832402071022,469.8244971154136,7.384500266689488,3.6166587563315598,24.164363974642523,120.9164602710928,27.4889165388351,0.6643007327779494,1.1752834182119087,0.14086304420070947
6.7892890018661305,0.09634212790174397,0.6316279579325927,32.809038773767014,107.12290808593407,5.001257293589404,2.9882500901049123,25.656521070804942,10.672287886842716,22.12874201436755,2.509894620609312,1.5468536009036016,0.9613671588124988
8.31909223699641,0.18483233520265654,0.3750653521247948,8.593556554436995,389.8457992452042,,4.544334206841417,2.677587540500258,0.6299881530859041,1.8652768473201125,0.9256279345568366,0.6966340483233213,0.35587851789542513
5.921169700371648,0.1231164989642524,0.24481650111969766,14.2278707981158,267.4482921751435,6.483718462784284,2.1553631313163364,14.472385506464251,41.31316697116495,25.563671548191984,3.5537041293088834,0.6612877048443447,0.9437858895901855
8.899116119275716,0.12907848127476926,0.9795545512846302,67.29448363508132,166.01473613984825,24.392956082651637,5.174582844102529,7.636175178351374,0.5458455696010296,5.199834192360934,0.6914131893722456,0.3568774837325385,0.73011753152774
7.16683653919535,0.3815803729384308,1.1508771980424524,39.30322343261351,319.32877458672897,8.335098458890325,3.81753362180387,14.919947592887338,5.375069546584402,47.40373970665297,1.4702624923354166,1.1280042336487044,0.5131468314625507
5.0868917478855815,0.07010431387341302,0.22417060800808397,37.33874951654491,98.80128539078808,1.6110841828264277,1.1908726839709618,24.922750540656292,-0.4593737972896438,6.9855446865166595,1.4685083729084247,0.5103922748429887,0.33638043595030553
4.95691172362544,0.03488183458781183,0.2679215191373758,5.032755926927306,104.1865991371254,1.1167853685964177,0.6648535378474584,8.418201995783383,13.7177904957606,13.898232853090004,7.108509742721366,0.6362762552065249,0.5010656499303863
4.9382865949508545,0.05398005780211003,0.7769925755537203,26.900979334205243,301.7015177410227,1.0136397600389522,0.8654572541231411,17.298658555277964,38.80441480713252,23.52660628516554,1.2802493202491918,0.12494631219465299,0.4539588033157335
8.013937592788665,0.5619132124651992,0.4972244751627924,3.6007604254896743,126.650115046617,41.966225055339685,15.193793850476359,14.443148575529602,11.35089643107107,9.73521974049262,2.0812253411670074,1.2428038574357179,0.5232246081935139
6.225113532039317,0.10250654857313521,0.7324782805983908,57.31733477369735,253.33407606627455,3.882786634219972,2.5110962376991517,10.146356663890803,2.778414256572368,26.230448809978252,1.9048679840025735,0.5000993078922066,0.4979773280777757
6.355242070099654,0.09114857243496757,0.7756392007193431,17.788162470779497,230.1466074730762,7.131703430633394,2.1852353992083433,17.120756776098606,11.877224477939619,11.67952611509786,1.468495095236486,1.0097620150975377,0.8392586968193764
5.976361762177993,0.09152363612697796,0.766633119149717,3.666445635928287,211.48185411878129,5.246188781711844,1.5892955205734158,4.086262234747176,81.52739794947114,19.777729129988934,4.018965290126291,1.804757786846005,0.5518126272437763
8.007904648860315,0.5418406950593542,0.45632931218010897,3.0161425868847846,117.97682545667855,40.73602342082806,15.17520773104608,14.18539159894744,9.55469693367168,9.376354591677774,2.027279881410851,1.3428657539143571,0.5392232610405001
8.365309975638763,0.45887669832618944,0.6097394165668272,9.628945078550913,480.3777232644684,41.20638613134921,9.079238598957433,9.397800877746798,14.36283440356995,19.42454939309096,2.9983011658805454,0.948321737409503,0.15188501273710503
6.05475132813199,0.10505515238617992,0.7934323554396974,2.273694225255629,208.0407603578861,5.565286880184814,1.2361613555539135,3.333219070637505,83.76207726158333,20.21255669801737,4.2925652813092965,1.7378484447698181,0.5590730729997111
8.23738607116947,0.16428215424007914,0.36772528648058983,8.612044879251012,398.42299398260354,,4.218620409132389,1.7529022790737803,2.6582784396636616,1.1113266339587975,1.1987266266308272,0.7819672920476424,0.3727515920093652
5.619001131377217,0.09689290981168071,0.6716452986644819,22.225815124838427,183.1438163349869,5.95771869127996,1.572405542532928,8.031964678139381,44.618172166880996,48.673771461345495,2.5564160078999603,2.5476667457854965,0.9573443055188275
7.934479772003747,0.4852351708568957,0.400910878394778,61.496929866205036,420.97288119151096,6.160799954307201,4.954931518339995,22.340315906000953,18.12384709517615,25.793921615041903,0.256634622066714,1.0121243795301949,1.0627441880528372
5.090380429284849,0.047248444600459946,0.6487909715602035,9.947335452451087,157.89367183721058,4.155476802006596,1.9958462650079944,6.004647950034789,44.405808001543434,45.27733840841037,5.370295352466256,2.9406585223170407,0.9549560194886029
8.047144758120067,2.20709410973691,0.21902505438863304,45.083296132869854,280.31509946760247,14.828232540725143,4.887473639540791,27.296064867561597,25.47488329983957,5.134895959019446,0.6407095078306211,1.9596905793317667,0.8250593266524437
5.0568234637467695,0.07454873870612633,0.2481426625622548,37.538864813476174,97.25604842750519,3.0387928818497456,0.6023870462399805,24.562064385291816,-0.8218875340902528,8.36268015630027,1.1672017683739058,0.4884495797615734,0.3955796446603977
8.509339820961058,0.16610203165259185,0.4547173902159575,6.188884871619216,767.2400412634363,52.58856226624458,5.241220295218299,14.684366778305561,6.940270819727592,1.3426915185974555,2.50979643652376,1.7322465028202436,0.8362865673908787
8.002597543764107,0.1145862385205813,0.23100232343098884,4.299852508134064,253.72048297168212,10.439503754270621,5.006989996593961,83.70977189447885,3.4031424092244165,-0.372383321448469,0.5123498485825291,0.19376437013474118,0.7500675404201669
4.925920884372112,0.13930289820419575,0.7572573435279834,19.550768674495345,134.7329421386654,4.355552853809411,0.3047540743241129,18.33112172349236,60.63707785629293,16.231384606575812,0.9340885826597268,0.6518673219250037,0.771182802244847
6.10053421724099,0.16598510060505134,0.19983649439286774,41.88263496770775,280.85673061235326,13.782730893538686,4.772582289434643,12.458044669970501,124.38713090367051,40.45684055245485,2.5385639353013794,2.085646844925581,0.879413273260734
6.315059080140738,0.10069666518705328,0.6660912107431781,5.128793227238491,346.01700778072444,7.154932080450921,2.576851005975641,17.25092206360225,26.239707289890518,64.61353358607462,2.2093938157711186,0.5873829231292516,0.4043436252367518
4.901180664621399,0.10313659914242627,0.17706732741645276,9.643981832494232,170.21979143080975,4.4139295700335195,2.6543458667738467,6.58576610947666,30.463169689598455,3.2762221113807177,4.091540649357384,2.069714339866144,1.202370358934258
9.034906382583811,0.1603190831283952,0.38496718396157775,5.787945079132687,403.26794992676406,40.510061356072654,7.379350826870861,9.982563504485396,4.993716093582175,1.2854713308772145,1.8288473142602302,0.4112447631686809,0.7323070242153026
8.757931091661813,0.19853683403306155,0.5511534939671816,57.730550252148944,429.37799588757474,30.85051744422146,2.2759761098785787,24.552478858219544,1.8231569274016715,12.811214810269702,0.7199766009822125,0.46893201454034356,0.24091776221681357
8.602300649393046,0.2756031966154123,0.5535773838298059,5.7966325038479845,593.7903187829457,41.273898592933165,24.032958614371896,10.16886419863187,14.426199921161524,4.499669670304998,1.7676854389921317,2.010154385131502,0.28616603878048796
8.821185770075623,0.16839828448721986,0.4168397327735699,32.98150241520714,111.22473312841316,12.886022840514908,7.898077511903443,17.784344606128272,12.633398011902175,3.0519988054278784,2.1824727528255146,0.6195637419009726,0.7656366861238658
8.890539079329272,0.14051349342922323,0.9788886493033093,68.0220444190977,154.3838037274995,24.24975567362671,5.288282853350472,6.585501910200548,2.9286176163263677,5.861393882771978,0.9893628916766605,0.3141860586684099,0.7180594158106539
6.365513488392446,0.118642103252574,0.754354505660172,17.632684492828993,219.21144917070012,8.361899868469214,2.31002756823529,17.54443756904408,8.16200805184443,11.687468125546294,1.6681217379587412,1.1571696982512147,0.8381845736315175
8.24044437239609,0.15574645463356612,0.349563645475693,8.560939921743994,402.0055224156351,,3.660887010325448,1.4769763216990786,1.7404647127377206,1.6020097258514663,0.9289773603769227,0.7760703846131796,0.3784793866252978
6.70401844179956,0.6201547714323006,0.21945302664547114,27.576870903949988,312.84607129307915,6.49946756834788,2.862972485160447,43.43035408102777,2.547841890880074,27.8338295738646,1.8970584722899544,0.644730458736601,0.3074935132444036
8.294503514482443,0.5681381485384907,0.8971117720293669,9.746861491977947,355.44410726416766,15.10668829467021,8.67359026642015,5.2067828566548835,-0.3021422744384903,6.323047269144479,2.166467813254948,1.750615291081184,0.052649586174858806
7.99686478213998,0.5568999704303453,0.4573387466783824,7.328691320392389,96.31678862210147,41.958597110761076,15.34310389527444,13.924929752804639,9.064011459894795,11.455192591861314,2.1340437026445307,1.3241704434369663,0.5199414780257606
8.153306179402803,0.13765926997094827,0.2574383510460035,8.350186923419718,212.23062653045562,10.606946458428332,3.7618735885209866,43.32501917228125,2.3815425379194246,0.7554091015158977,0.9646993666704315,0.34671522322222864,0.7035432946758474
8.519861587927895,0.22222672185181247,0.5377021578087221,5.213344771275706,590.4754396813172,40.84418959089412,23.576895980212914,8.61970226328528,12.797591181806242,6.614980665598398,1.7598907465086175,1.9966958423775483,0.2931389391430289
5.967748619691626,0.10344728232503113,0.7980953811065052,4.387055514330875,216.191977510434,5.415609349619577,1.1993105095079617,3.5264426823168327,80.34388250778645,19.633922117888535,4.162352159765445,1.7994998457120057,0.5390876404662852
5.260573771237626,0.012292892273017312,0.3260732920410283,2.1392430438281256,709.5040679267844,3.1600116828845044,1.9619879055507314,28.922413808569427,1.708204741894283,12.995710041926781,0.9875482967503085,0.5938952031169,0.5622240650542305
6.347922669658061,0.014414744270785915,0.5086213326707713,33.49116016348815,230.67515649362497,3.653194932774535,1.7341645653402067,11.712768640740007,7.451870308710373,10.303093848091473,1.8543237628976132,1.0795116461519205,0.2846431697606426
5.150591759730319,0.060917967415526665,1.3336434547203462,10.430486458619848,93.87836447599457,1.7903686299848411,2.2984151920163636,12.487420885056148,90.76451878801862,59.9052201841249,2.527765727001641,0.33951469385086264,0.8048254570819331
5.454011342828751,0.04427672217507979,0.7894050651217763,21.35772769094016,320.4452729490913,2.397009460725639,0.8104806528188653,19.17495861911605,43.23651363006592,21.86989752440263,6.209151315903095,0.46777000361322246,0.6630145691585988
8.143311495990739,0.1743143653593571,0.5186709010041444,36.02832437733551,473.73790609330257,6.182262540397568,4.266548660062454,24.62117383409206,2.1165269109953004,0.9376787855544122,1.078233969034681,1.167374613322764,0.5824844550066139
7.863609785380278,0.09930045566700553,0.19379464504674493,6.680267889822437,250.70208623667332,10.526138839451129,4.470573174305864,81.97190601595877,0.5620456063312438,0.48547312767549544,0.32246439038514935,0.12757136153510434,0.7511981721707146
,,,,,,,,,,,,
8.246029369048415,0.21727652638709868,0.8689346714579892,27.569739066044434,216.36244205424057,5.915953278931978,2.717346919632746,26.867106321851445,19.47169618342089,2.7286907652353887,2.4406679294483196,0.45230310022965187,0.3236527330540599
8.524907470041832,0.17682219550231687,0.49480912255869214,6.475554739846726,763.5454490895311,54.731177958369344,4.673532484809321,16.096847341508273,7.381260326509636,0.8094214052295338,2.4349868748555554,1.769483126687901,0.8170121335313348
9.076149079782002,0.27256284870063746,0.506013765828803,10.467047338903436,376.33722317693054,38.63837553943507,9.782260049336733,30.254448462854644,3.9803336487527567,4.845105753790635,1.2993837167686164,0.8729579385077958,0.8609316302636684
5.191186334020515,0.0752719111438638,1.3309222970809844,10.31440220138962,74.51166209774725,2.8304832361533014,2.0332591358433287,12.172259599058401,86.89452280659408,58.91008421501691,2.4195445146347723,0.4470680808820606,0.7998432972527275
7.777666177373875,0.46626969327248274,0.5884118268268295,21.12338868110819,346.49544205794825,19.748815108164543,11.368559408060737,16.23202138559187,0.26616639724943325,11.703919503013307,10.552496402104822,0.7492955716460732,0.2292844735096632
6.297743740260606,0.10396661939426137,0.8980743050984292,5.775832079977692,218.23254828094647,12.490562901033085,7.354293009568566,17.626331547024893,33.36189056225333,26.53053360804628,8.285136690128274,0.7572270142698612,0.9917473374140104
6.58605513733373,0.2716970028991589,0.43014289457318594,55.90720645874222,218.20877467614358,2.2068321460371343,3.1238116157089864,22.53906649725253,12.913802014775433,9.828203486147801,1.1454938902002183,1.50142899762986,0.9239660477698972
7.995962784129354,0.10043444813298509,0.1845663348201853,3.42598165921613,265.41629430705075,12.01067861411233,4.169496625982353,82.7006657782915,4.121777713505385,-0.394117577277756,0.46488879481902134,0.18403271137869084,0.7636113494985411
8.486879664833191,0.19334850630908665,0.4361906722430557,5.718682934065849,749.8555844130187,62.847683837137474,8.130389978459784,11.230906254328904,19.720116243685077,16.479137296969537,2.4240571058188665,1.3600203133695994,0.4254896581714585
6.9325439935180535,0.1005339176648697,0.8365525107807239,12.68899907599061,101.9148171901734,28.1775491336232,6.27659723624512,12.42564267791635,45.16966252232567,24.717783199702346,10.027403930449164,1.6193169622407935,0.5486697383251607
6.102023122485691,0.08001153473326483,0.2622786535948373,15.272391579367456,276.06781254558837,6.049604441219852,2.1683058209777006,13.153451299492486,40.30687889401819,25.451080036506912,3.628399912175386,0.6141718471954118,0.9515530175702357
6.307625098952028,0.10009035103841996,0.6973415883186189,4.416788039656533,342.77887667643387,5.773069590928619,2.6237347020929,18.160270581240397,28.031955977659166,63.64304435441257,2.178042491513217,0.6301623583733204,0.416558699461538
6.037702078739981,0.0853553597094735,0.9605045907434326,27.75959911587918,459.0622106399935,7.5599130858601775,3.422589825867758,24.85342091067794,120.85059407647286,26.369291223199955,0.498221206088616,1.2012803932093783,0.17298055039017246
5.148173740112409,0.06119697130463352,1.5888265489547437,25.65689155739807,111.3170586648749,2.4418130549128705,0.8586171258523121,12.155409721614998,-2.3983633606002006,8.451369875852379,4.056202771341082,1.4715156521270698,0.6619843016607745
8.605247137978512,0.17611006216214545,0.3895738818787042,10.229310038302742,445.60614414637797,20.472235014918773,11.704094338683737,20.167850172728183,1.8471866343010626,1.7937011881723732,1.442819543274771,1.4238491418563228,0.4101728656720739
6.717221671416631,0.09596746285102783,1.0732942758609747,23.832290375079133,452.0575975791617,6.317699912320782,2.1031564024032967,11.846106262209128,1.3581981280589652,14.958768314724797,2.1626892153369894,0.8686651693009259,1.2116726158825013
5.654445471862571,0.0563211416566595,0.3040026448748747,21.520665332600558,130.27273831298433,1.2850189596058277,1.4976245872429401,12.865876151647383,44.782680477324895,12.96016729664603,2.1978895150509676,0.9972229322486892,1.0112273532885732
7.654768027171433,0.16696054890085976,0.5202714683121707,23.557120710774107,692.1697942972248,8.188001618353073,2.5355737325655507,58.33691903445338,0.6824720760249912,2.9014836387226985,1.2964966426840603,0.42919840316213226,1.073748813397872
6.986942053445372,0.1886916838677518,0.8852349822960002,64.33185795504322,299.75677733717345,12.231868972017203,4.353249074757447,14.093296348894523,39.60572670595087,26.090989142488038,2.674858973581407,1.211694289882154,0.7236474267202466
6.566625512144356,0.0811848583716979,1.2947729950073836,4.966408431497041,334.1801195704062,19.801726928049593,2.8529238298701665,8.980357711705086,32.69424312182573,22.47626674219852,6.073273252821868,0.3971506203614899,0.6697411825678313
7.740699352921898,0.051365692976215106,0.9380404523777118,27.488576485357438,451.8374280898402,2.715747158417586,1.7402523362057136,10.272917333050955,37.846973281588745,10.326232840291478,1.4667017528451725,0.618078346496445,1.1590281239455935
8.178939800930756,0.39865263084106645,0.942610534992981,27.678444480758294,376.2457904117025,6.180939992980425,2.392944072569975,41.642795814290416,0.28413540511277635,10.37976116802887,0.9463909194035578,0.6852060814122405,0.4676897528133778
7.696832987288747,1.3055456637229297,1.1938636263582745,15.504158359222295,800.43911917011,59.71829636775775,19.521985115798902,23.972303933915583,12.119959123306653,2.451739895794449,6.58724779603051,0.6045415476681584,0.43248812546847754
7.760773393769662,0.05242554374215184,0.41367487450791196,25.80313862951494,528.6677759364437,11.953916364286805,6.562566098386122,22.670634065685572,4.655955435819147,7.383185284915569,2.463490578340281,2.328846899801075,0.7544595186252515
8.738831824279409,0.3243115605678506,1.326816614595694,10.564665656604319,274.2997940900062,16.314620423593546,6.971441284818505,17.815759281888315,8.096774317416557,12.569530762555269,1.0046966776702766,0.26661646305086684,0.4545557504462718
8.631627948939455,0.1553233730241312,0.5922377931488152,13.437829362942354,234.2555964026249,9.073874608858812,3.286573270627821,18.342365520429603,3.89548174597642,5.354251012135654,0.2017243223115645,0.8353897636627868,0.4587300629224071
6.54563927992451,0.2622288845448269,0.4467046612380443,55.51046911470187,229.6079766011057,4.556776642570274,2.9612733743487203,21.905400003059142,15.76639872186505,11.772215022363834,1.045845528326109,1.5279903691557426,0.9323919040880895
5.9398731914648435,0.1077606034083467,0.2002196016497399,13.875509604038054,209.90502853138108,6.817577867906817,3.700994193342573,29.430968376413286,157.29718449227943,50.52119458816767,4.284715217906717,1.5215621266082342,1.0263621054206185
8.053376606431733,0.16158994321535414,0.528554590698957,35.453716962286265,481.86052549120234,7.89601935500602,4.309161596812213,24.350455006322317,-1.7791283828851658,1.8497582904580772,1.1600657514467314,1.2582540612942035,0.6122994603407368
8.597833574998697,0.048227737289164824,0.7027217253350069,39.28488569677046,225.7483964253843,6.742390708326657,4.742650806421472,34.840864470061796,14.550711352832518,4.506041688834036,1.5871937244620733,0.3831420789145052,0.8086312446459188
6.949270781812787,0.10955467235405365,0.83207903286533,11.617463129514295,84.03160851442787,27.89176661323498,6.310942287871519,11.587920974309357,43.49180364101143,24.59466040944416,10.097835053845149,1.5948995305023166,0.604350218200924
7.923258523025565,0.5064662077686483,0.395990060124193,63.45102598981805,408.48484566186954,8.964117682517328,4.69122637378564,23.13312268222332,19.00179154647664,26.18728320860771,0.280722229830111,1.0452667880577007,1.049484664802417
7.632447887584892,0.15809813998310038,0.5313494237000563,24.583228770427525,703.0487821138747,6.630113208924353,2.490000058800029,58.33826226831199,-0.46998131994630765,2.2513806682393316,1.1273180167424952,0.396668095040755,1.0740239765238584
8.414303625256682,0.16772993138951844,0.40825842110476407,6.236331286788577,737.6969768446262,62.94418945880053,7.418057302905612,12.395777293201961,19.57927334248915,13.95792297097987,2.676605717876966,1.472870193582931,0.43211450815927355
8.96009631526926,0.21526867687042386,0.5860309599023548,56.2526817701312,458.11174791857104,30.078322833528933,2.4845033223009687,24.787512970890102,4.212938831345725,13.192421489182962,0.6571796482770066,0.5417472036374851,0.24239704721532232
7.852265886944006,0.32914882890444797,0.6191067838390837,31.652257811391564,585.8860672158504,,14.69275021644884,9.755867598787091,6.592091007900159,4.1788643857494625,1.178516085176472,0.7709933445781583,0.26544011990294125
8.445074348402622,0.20895043924283083,0.2495779377638591,74.69341034383247,295.0416953562949,5.541590219681914,4.178074703092741,29.304555986187328,5.044629600508705,4.775204543010561,0.7350597899906067,0.9029288470322933,0.5857382138001537
7.660847632336099,0.033217638096219526,0.9343466804783327,25.55515523284033,441.5196043435131,2.4381659456050855,1.1254854776727037,10.054374345176718,35.56110423974027,10.720274305382594,1.4024859427981322,0.6597930653123334,1.1519607395389388
9.027174291798655,0.15344748538634514,0.3707893338754501,5.045203990736833,374.057692636683,39.73676683479116,7.096070420922853,10.916571813956017,7.593634422387143,2.038927070808739,1.8363011930298516,0.4014490686724984,0.7257150113337915
6.322303273394934,0.1385969311422494,0.88911351064858,7.317172832591345,210.87353374450223,14.712027270798778,7.112534377429149,18.04908267162518,31.452491396275775,27.06112141509209,8.249988169271795,0.630442351755232,0.9920706152482679
6.0592319981918035,0.07403467870367027,0.7819120137283855,7.0984114448169375,193.52081155466834,4.920989503652609,1.2960886769475115,2.8089785524930178,79.34084821025345,21.9341500138035,4.143644221083856,1.8452770606683617,0.5338577902752298
8.519769144544114,0.23652844608550022,0.5810582825870685,3.00193169135706,589.0258286467399,40.83487979759338,23.60220245200826,9.27880379100512,12.376692204307385,4.971592969177999,1.8919542059512875,1.9681844698144486,0.3196297358830979
,,,,,,,,,,,,
6.973619277435904,0.49123111412457676,0.781958607255451,49.09493093363862,473.72543121853255,23.64052813776138,6.926978746294829,11.27434720850149,5.867388865492361,18.634930840131027,1.860077986292783,0.45076569531283367,0.441402534473931
9.483101053858983,0.4054330205273092,0.2304340205358171,9.186026704060964,712.5066443304254,33.50369717926063,14.225695623824071,10.791446233783272,3.4911276625993954,16.40198347354186,2.227766639259583,1.5458363247646252,0.6197343164568789
7.658877183812781,0.2653261201000769,1.2014290408562676,61.999241837585345,736.140996437012,9.36028903032572,3.6357975574963626,22.9470003374451,6.801248907078811,14.66305090774068,3.205355060137149,2.67338986808297,0.9280527731710896
5.719239599066037,0.02641586385042486,0.34738245328508366,21.907219659815183,140.52335278232277,2.690602495471598,1.611155008826238,13.187533117047295,42.39627938902071,12.477756409699566,2.101736844119311,1.0050882947807802,1.0154098071493822
8.61470387066367,0.2072875163106388,0.5436950153519041,58.18793967775778,432.94694276075666,31.642788318221495,3.20433823751614,24.014974168511724,3.527811256905933,13.241997995043505,0.6298507095739918,0.36217940854142583,0.24133341063630107
8.32257200988002,0.15645847248634695,0.36397312609624244,8.4277828926912,386.2780335564028,,3.871669665521552,2.0081277075045127,1.5215878179233886,-0.17116951785442547,0.8763715325772128,0.7504176717080072,0.37521889187298346
5.064304114391448,0.1963015925247179,0.7856012792159267,19.294805766623345,132.04248191060375,3.420039900578528,0.9591095283607193,17.309992021508492,61.718346069858114,16.343279966076032,0.9263989668947118,0.5660389055495032,0.7691989156666531
8.38171578518848,0.17817601562841473,0.4715724945041174,8.031643112401436,763.8991797236529,53.115293765344546,4.704166044833139,16.48657726373507,6.228559177412946,-0.1482771796815987,2.4682386545893142,1.7356845658343762,0.8003231159092651
6.686396147509943,0.24780587667565734,1.0820148624180868,12.121228199413872,297.6169949699741,3.4111280485559323,3.2219217844115655,6.53949078679393,19.308042549096324,20.261760030442783,2.516658056494002,1.3695097483385898,0.3549760155039984
7.102320833899503,0.14187271514467545,0.4106478779112852,36.337488838863955,251.26985226897654,4.0060095326417375,3.6610865391363543,23.544787847010483,5.492225360882958,5.441223893003542,0.6969315242394275,0.6438220232183101,0.8468964809522228
4.990027060895853,0.10567830605418142,0.20637808042449063,9.466242877137645,187.62959409553912,4.508052317327236,2.9733277467853774,7.720983853992508,28.779413790524295,1.576494278916865,4.112067480663353,1.95602677266287,1.2354134422495266
8.27235700877457,0.14323349345315292,0.2926838774498909,8.682609046804108,204.7259162405974,11.485737829270214,3.773183881517233,41.70284955900358,1.9096234815103892,0.1018738782840165,1.0091518752322797,0.223233192640466,0.7084626746380197
8.075637984173648,0.2501236128741228,1.0370444249058495,22.250531478848423,142.81080725639836,6.8759257825299125,6.222699756745463,30.353993786295785,10.441865164532807,9.481439623886125,1.627984473717718,2.038165798193707,0.9727251091551308
5.064668253894963,0.04459942749715262,0.2690890109226551,5.459883307134086,89.48378599726004,0.17335108070820782,0.7248692278668332,8.975124099785713,14.204488648446448,12.619712518266946,6.957996809609992,0.7126108556400571,0.5085084239397288
9.13231727407658,0.2631722787742794,0.48547552506847547,7.558747111236681,393.70312186497,36.23461707137559,9.474656678596194,29.698724917884835,1.703149753104955,5.166685737940867,1.5480022666808864,0.7449958621622259,0.8306655958122882
8.836843712657302,0.11545306462108217,0.9433706229699231,68.95953440396919,164.79986545289935,25.273900241028805,5.117246365382159,8.099635776449814,2.1438979697910794,5.167387209923388,0.8026555507445399,0.3084221119571348,0.7156282957753097
8.74678305685097,0.14216500938993365,0.5890082178640065,14.698125695900636,239.4634011712568,7.425132382946142,3.4971801109834946,19.611265435309775,2.8368986166964714,5.075910883560201,0.30590869322413594,0.847016961222197,0.49764547773207435
8.270649920223176,0.2440103380397013,0.8217743436228127,27.639688470484913,215.88354160937502,5.522313344585144,3.1823434355789533,28.256739659220944,20.73242001990241,3.297433745833738,2.4540814778378555,0.492997677254462,0.32137797547556
7.110739253993646,0.14431612228669846,0.3984753729106797,38.2214114514533,115.47603257290865,3.3278313709059533,1.906978676710076,19.497119986222568,13.737009087060626,9.457107857401718,0.46788637631097746,1.8810943474292416,0.4718072615569699
